Order No,Part No,Brand,Box Type,Start Date,Lot Size,Country,Wrap Type,CPU,Picks,Frames,Hours,Boxes,Time for Job,Qty/Hr,Picks/Hr,Picks/Qty,Backlog,PB,Shipment,Check,Shift,Steriliser Loc.,Suggested Line,Maximum People per Line,Helper Cell,Efficiency,Actual Hrs (Planned),STD Hours,Sequence,Components,Line based on Components,Line Based on Picks and CPU,Job Nature,,
9720873,588775,BVI,-,2026-01-22,204,Ireland,D113/D256,12,31,4,12.5349374268,17,1.56686717835,16.27451283193828,2.473087734265131,0.15196078431372548,x,-,,,,RT/DB,C2,8,,,,,,22,C2,C2,,,
9722348,588780,BVI,-,2026-02-06,100,UK,D113/D256,10,24,3,4.4306632200000005,10,0.5538329025000001,22.569984454832923,5.416796269159902,0.24,-,-,,,,DB - UK,C2,8,,,,,,21,C2,C2,,,
9721050,591834,BVI,-,2026-01-23,15,Italy,D113/D256,15,13,2,0.455979786,1,0.05699747325,32.896195095806284,28.510035749698783,0.8666666666666667,x,-,,,,RT/DB,Offline,3,,,,,,10,Offline,Offline,,,
9722387,588789N,BVI,-,2026-02-10,80,Austria,D113/D256,5,25,4,4.636573536,16,0.579571692,17.254120824106778,5.391912757533368,0.3125,-,-,,,,RT/DB,C2,8,,,,,,21,C2,C2,,,
9721093,591964,BVI,-,2026-01-23,14,Belgium,D113/D256,7,14,2,0.5459729184,2,0.0682466148,25.64229749898159,25.64229749898159,1,x,-,,,,RT/DB,Offline,3,,,,,,12,Offline,Offline,,,
9721590,592009,BVI,-,2026-01-23,24,Belgium,D113/D256,6,20,3,1.5414539663999998,4,0.19268174579999997,15.569715686061635,12.974763071718028,0.8333333333333334,x,-,,,,RT/DB,Offline,3,,,,,,15,Offline,Offline,,,
9722001,588831,BVI,-,2026-01-30,120,France,D113/D256,6,20,3,7.1025210119999995,20,0.8878151264999999,16.89540936200753,2.8159015603345887,0.16666666666666666,-,-,,,,RT/DB,C2,8,,,,,,16,C1,C1,,,
9721588,592015,BVI,-,2026-01-23,25,France,D113/D256,5,23,3,1.09806147,5,0.13725768375,22.767395708730223,20.946004052031807,0.92,x,-,,,,RT/DB,Offline,3,,,,,,21,Offline,Offline,,,
9722102,588854,BVI,-,2026-02-03,120,Austria,D113/D256,5,24,3,8.729318963999999,24,1.0911648704999999,13.746776867116894,2.749355373423379,0.2,-,-,,,,RT/DB,C2,8,,,,,,20,C1,C2,,,
9721891,588305,BVI,-,2026-01-30,10,France,D113/D256,5,22,3,0.754385965,2,0.094298245625,13.255813951947,29.162790694283398,2.2,-,-,,,,RT/DB,Offline,3,,,,,,16,Offline,Offline,,,
9721132,588901S,BVI,-,2026-01-27,244,Austria,D113/D256,4,22,3,13.9748280864,61,1.7468535108,17.459964336695883,1.5742590795381535,0.09016393442622951,-,-,,,,RT/DB,C2,8,,,,,,14,C1,C2,,,
9720947,588912,BVI,-,2026-01-23,195,France,D113/D256,5,21,3,11.176367942999999,39,1.3970459928749999,17.447528659982307,1.8789646249211718,0.1076923076923077,x,-,,,,RT/DB,C2,8,,,,,,17,C1,C2,,,
9721665,588924,BVI,-,2026-01-22,315,UK,D120,15,26,4,19.5045839415,21,2.4380729926875,16.150049698305683,1.333019975098247,0.08253968253968254,x,-,,,,DB - UK,C2,8,,,,,,21,C2,C2,,,
9718017,588985,BVI,-,2026-01-13,3000,France,D113/D256,40,6,1,74.8090485,75,9.3511310625,40.10210075055292,0.08020420150110584,0.002,x,-,,,,RT/DB,C3/4,4,,,,,,6,C3/4,C3/4,,,
9721915,588448,BVI,-,2026-01-30,18,Belgium,D113/D256,9,8,1,0.4716551826,2,0.058956897825,38.163473367927324,16.96154371907881,0.4444444444444444,-,-,,,,RT/DB,Offline,3,,,,,,6,Offline,Offline,,,
9721931,588459,BVI,-,2026-01-30,18,Belgium,D113/D256,9,24,3,0.931671315,2,0.116458914375,19.320118275832073,25.76015770110943,1.3333333333333333,-,-,,,,RT/DB,Offline,3,,,,,,22,Offline,Offline,,,
9721906,588531,BVI,-,2026-01-30,14,Denmark,D113/D256,7,18,3,0.6451683140000001,2,0.08064603925000001,21.69976376118186,27.899696264376676,1.2857142857142858,-,-,,,,RT/DB,Offline,3,,,,,,16,Offline,Offline,,,
9722092,588960,BVI,-,2026-02-03,140,Germany,D113/D256,5,21,3,7.2442947360000005,28,0.9055368420000001,19.325552742115818,2.8988329113173728,0.15,-,-,,,,RT/DB,C2,8,,,,,,16,C1,C2,,,
9721550,588965,BVI,-,2026-01-23,180,France,D113/D256,7 NEW,18,3,7.236939047340674,25.714285714285715,0.9046173809175843,24.872394091275897,2.48723940912759,0.1,x,-,,,,RT/DB,No Info,8,,,,,,17,C1,C1,,,
9718783,590004,BVI,-,2026-01-13,3000,UK,D120,40,8,1,73.274367,75,9.159295875,40.94201182249722,0.10917869819332592,0.0026666666666666666,x,-,,,,DB - UK,C3/4,4,,,,,,7,C3/4,C3/4,,,
9722283,589296,BVI,-,2026-02-06,60,UK,None,15,17,3,1.492985328,4,0.186623166,40.18793679665685,11.386582092386108,0.2833333333333333,-,-,,,,DB - UK,C1,8,,,,,,13,C1,C1,,,
9722295,589513,BVI,-,2026-02-06,147,Ireland,D113/D256,7,28,4,5.984453275500001,21,0.7480566594375001,24.563647376412703,4.678789976459562,0.19047619047619047,-,-,,,,RT/DB,C2,8,,,,,,22,C2,C2,,,
9720921,589615,BVI,-,2026-01-23,90,Ireland,D113/D256,6,34,5,7.108260597,15,0.888532574625,12.661325337169542,4.783167349597383,0.37777777777777777,x,-,,,,RT/DB,C2,8,,,,,,25,C2,C2,,,
9721964,589618,BVI,-,2026-01-30,50,UK,D113/D256,10,13,2,1.81401154,5,0.2267514425,27.56322046330532,7.166437320459384,0.26,-,-,,,,DB - UK,C1,8,,,,,,11,C1,C1,,,
9720942,589861,BVI,-,2026-01-23,174,France,D113/D256,6,16,2,6.333085551599999,29,0.7916356939499999,27.474759117384796,2.5264146314836595,0.09195402298850575,x,-,,,,RT/DB,C1,8,,,,,,14,C1,C1,,,
9722096,589862,BVI,-,2026-02-03,108,Austria,D113/D256,6,31,4,6.2533017252,18,0.78166271565,17.270876210046595,4.957381134365225,0.28703703703703703,-,-,,,,RT/DB,C2,8,,,,,,16,C1,C2,,,
9720804,589921,BVI,-,2026-01-15,658,France,D113/D256,7,14,2,24.2198294212,94,3.02747867765,27.167821397785822,0.5780387531443792,0.02127659574468085,x,-,,,,RT/DB,C1,8,,,,,,11,C1,C1,,,
9722271,589937,BVI,-,2026-02-06,260,France,D113/D256,13,19,3,10.426352456,20,1.303294057,24.93681285926404,1.8223055551000644,0.07307692307692308,-,-,,,,RT/DB,C1,8,,,,,,9,C3/4,C1,,,
9722276,589957,BVI,-,2026-02-06,60,UK,D142,15,19,3,2.319017502,4,0.28987718775,25.873025946657993,8.193124883108364,0.31666666666666665,-,-,,,,DB - UK,C1,8,,,,,,17,C1,C1,,,
9716588,589984,BVI,-,2025-12-22,1008,UK,D113/D256,12,14,2,32.9524615728,84,4.1190576966,30.589520536214966,0.42485445189187454,0.013888888888888888,x,-,,,,DB - UK,C1,8,,,,,,12,C1,C1,,,
9718776,590768,BVI,-,2026-01-14,2000,UK,D120,25,8,1,50.7813426,80,6.347667825,39.38454356659723,0.15753817426638891,0.004,x,-,,,,DB - UK,C3/4,4,,,,,,7,C3/4,C3/4,,,
9721959,590006,BVI,-,2026-01-30,140,France,D113/D256,5,25,4,6.48775407,28,0.81096925875,21.579116361295736,3.853413635945667,0.17857142857142858,-,-,,,,RT/DB,C2,8,,,,,,20,C1,C2,,,
9718067,591652,BVI,-,2026-01-15,1000,UK,D120,20,9,2,28.5427178,50,3.567839725,35.035206072772795,0.3153168546549551,0.009,x,-,,,,DB - UK,C3/4,4,,,,,,8,C3/4,C3/4,,,
9721969,590070,BVI,-,2026-01-30,30,UK,D113/D256,6,25,4,1.3884225840000002,5,0.17355282300000002,21.607254409223867,18.006045341019888,0.8333333333333334,-,-,,,,DB - UK,C2,8,,,,,,21,C2,C2,,,
9720686,590073,BVI,-,2026-01-16,280,Spain,D113/D256,5,15,2,10.306310392,56,1.288288799,27.167821397785822,1.4554190034528118,0.05357142857142857,x,-,,,,RT/DB,C1,8,,,,,,12,C1,C1,,,
9721552,590064,BVI,-,2026-01-21,2000,Spain,D120,50,9,2,50.7813426,40,6.347667825,39.38454356659723,0.17723044604968755,0.0045,x,-,,,,RT/DB,C3/4,4,,,,,,7,C3/4,C3/4,,,
9721882,590112,BVI,-,2026-01-30,136,France,D113/D256,8,20,3,7.5723580624,17,0.9465447578,17.960059320926494,2.641185194253896,0.14705882352941177,-,-,,,,RT/DB,C2,8,,,,,,15,C1,C1,,,
9722368,590117,BVI,-,2026-02-06,60,Italy,D113/D256,10,15,2,2.1587739299999997,6,0.26984674124999997,27.793554093920342,6.9483885234800855,0.25,-,-,,,,RT/DB,C1,8,,,,,,12,C1,C1,,,
9721999,588559,BVI,-,2026-01-30,25,Belgium,D113/D256,5,23,3,1.267460115,5,0.158432514375,19.72448655711742,18.146527632548025,0.92,-,-,,,,RT/DB,Offline,3,,,,,,20,Offline,Offline,,,
9722023,588639,BVI,-,2026-01-30,20,Italy,D113/D256,5,15,2,0.760785676,4,0.0950982095,26.288612720936666,19.7164595407025,0.75,-,-,,,,RT/DB,Offline,3,,,,,,11,Offline,Offline,,,
